year,count,Artificial Intelligence,artificial intelligence,Artificial intelligence,ARTIFICIAL INTELLIGENCE,artificial Intelligence,ARTIFICIAL intelligence,ARTIFICIAL Intelligence,artificial INTELLIGENCE,Artificial INTELLIGENCE,ARtificial Intelligence
1992,0.0000050332216015497306,0.0000026731482194009002,0.0000018421661025058711,3.6891262880089923e-7,1.3596019385886393e-7,1.2301258234259649e-8,2.9594301453883533e-10,9.895204516885414e-11,2.123051325020331e-10,1.083818479408194e-10,1.7616708786194478e-11
1993,0.000004609963377359695,0.0000024991024474729786,0.0000016622263956378447,3.190240192907368e-7,1.1925650653665797e-7,9.679395862605134e-9,3.001362713916933e-10,8.113750227245476e-11,2.0296931427243868e-10,7.275276214802062e-11,1.7616708786194478e-11
1994,0.000004137755498333924,0.000002267023614876962,0.0000014858730537525843,2.75437443519877e-7,1.013451239373353e-7,7.449597561048904e-9,3.1146961676498107e-10,6.996082879684451e-11,1.9244087642866782e-10,3.5176655338586825e-11,1.7616708786194478e-11
1995,0.0000037996028710289558,0.0000020955335685357567,0.0000013581003940998926,2.5562129053469106e-7,8.408244340785132e-8,5.606340724995107e-9,3.189816299986603e-10,9.538912715267855e-11,1.9224805844486604e-10,3.479101937098328e-11,1.7423890802392704e-11
1996,0.000003577473920881452,0.0000020017850602016553,0.000001256190421372594,2.396838425511305e-7,7.438003208903865e-8,4.702588762839355e-9,3.598115805303337e-10,1.2910827823509053e-10,1.9971058626278015e-10,2.5921568364006832e-11,1.7423890802392704e-11
1997,0.0000033131383042860063,0.0000018779445099426084,0.0000011508946272442699,2.1745172489318066e-7,6.222267856514918e-8,3.908227297344524e-9,4.175781886939234e-10,1.3715961005855704e-10,1.1040175371124228e-10,4.272787332282313e-11,8.668917667042919e-12
1998,0.0000031057557081597134,0.0000017863911352833383,0.000001072660529644054,1.9465450122879703e-7,4.821633297069638e-8,3.172412199603514e-9,3.5498234074449184e-10,1.4482714125185758e-10,1.0192302904443729e-10,5.039540451612368e-11,8.668917667042919e-12
1999,0.000003023071557509833,0.0000017600726778255193,0.0000010341383813283756,1.8421940808366344e-7,4.125153800771386e-8,2.820773081779748e-9,2.9136459911427437e-10,1.3447760197071722e-10,9.245639254196192e-11,4.1811671486202687e-11,8.668917667042919e-12
2000,0.00000294540646423383,0.0000017225047486135736,0.000001011682161333738,1.7126336615547189e-7,3.700560604613656e-8,2.4207583937396747e-9,2.885040983890974e-10,8.24640973562385e-11,1.2715391864426272e-10,3.17015767803408e-11,0
2001,0.0000030096511773082526,0.000001809723767109972,9.97406027636316e-7,1.6716721802367828e-7,3.270955026835054e-8,2.2350914008484326e-9,2.448627606232989e-10,3.987549526685008e-11,9.308303641764049e-11,3.17015767803408e-11,0
2002,0.0000030573598285295325,0.000001860452630353393,9.989403679355747e-7,1.6594880207776442e-7,2.9779891264070103e-8,1.9409368778866564e-9,1.8111854238611614e-10,2.983162605829648e-11,6.459214482723574e-11,2.16577075717872e-11,0
2003,0.0000031045201538126843,0.0000019174835415469717,9.923435527525725e-7,1.647720182518242e-7,2.7646843037132385e-8,1.937075433389168e-9,1.8625173348052472e-10,3.648542093448448e-11,6.459214482723574e-11,2.1150839413230928e-11,2.86426521389771e-11
2004,0.00000309533872087861,0.0000019286198494228303,9.769432267603406e-7,1.622359661723749e-7,2.5311889118029286e-8,1.91016749084838e-9,1.760913734272229e-10,2.7964747878472806e-11,5.689131526986912e-11,2.8031825471952486e-11,2.86426521389771e-11
2005,0.000003017823690924099,0.0000018994066522282082,9.421273034604383e-7,1.5232833021627813e-7,2.1882781098270242e-8,1.8559548564667238e-9,1.317327080752051e-10,2.7964747878472806e-11,1.3524871500525392e-11,2.0804084843728533e-11,2.86426521389771e-11
2006,0.000002822889058668593,0.0000017358069044348667,9.285008104598091e-7,1.3804176717258089e-7,1.8560891312802142e-8,1.7710451549746153e-9,9.019684166222675e-11,4.121821564617712e-11,2.67783392682297e-11,2.0804084843728533e-11,2.86426521389771e-11
2007,0.0000026703809450946696,0.0000016233032511081547,9.012048735712597e-7,1.2831054192474766e-7,1.552398636306407e-8,1.843685137892237e-9,7.677031510500143e-11,3.445577989591442e-11,2.6975030542608636e-11,2.0902430480918e-11,3.550343352642926e-11
2008,0.0000024898554474461762,0.0000014870654013066086,8.702844297658885e-7,1.168871435197616e-7,1.3587861324992901e-8,1.8647121846626646e-9,4.0966999237390665e-11,2.013445382642587e-11,2.6975030542608636e-11,1.3741767446173724e-11,6.408109320954481e-11
2009,0.000002403159249284719,0.0000014035247431820607,8.72980092481157e-7,1.1260912771149379e-7,1.2116614911406031e-8,1.7760443116188185e-9,2.0324041061225984e-11,1.3253467767704308e-11,3.401912154754605e-11,6.860781387452164e-12,7.816927521941964e-11
2010,0.0000025184294924943116,0.0000014646428780906717,9.211615406456985e-7,1.1728968161150987e-7,1.339327795335521e-8,1.7697967757968057e-9,1.2386446382461891e-11,1.3253467767704308e-11,3.9544786542555774e-11,6.860781387452164e-12,1.0027193519945854e-10
2011,0.0000025344472378133193,0.0000014548978242601151,9.433993795937568e-7,1.2018056878559945e-7,1.396310072010465e-8,1.767793977869303e-9,1.2386446382461891e-11,0,2.629131877485147e-11,6.860781387452164e-12,1.9303192932973446e-10
2012,0.000002564451970579057,0.000001448991747565742,9.773083206709999e-7,1.215149850963826e-7,1.4693747019123294e-8,1.7142106178980043e-9,5.525664995009727e-12,6.173259819997057e-12,1.2569755999947141e-11,0,2.0469092809616286e-10
2013,0.000002482458625508583,0.000001350562331481342,9.967221672013693e-7,1.1882627717341166e-7,1.4535607739674106e-8,1.5410313469743642e-9,5.525664995009727e-12,1.3278350641243719e-11,1.2569755999947141e-11,7.105090821246662e-12,2.327317033534726e-10
2014,0.000002474850447148347,0.0000012990680374969089,0.000001040993004153279,1.1746788004529663e-7,1.5512265072459287e-8,1.4736580844498803e-9,1.9779665752506226e-11,1.3278350641243719e-11,1.2652665373757976e-11,7.105090821246662e-12,2.8278652336455323e-10
2015,0.000002387386092625454,0.0000011562418308130872,0.000001096880225759378,1.17717002012796e-7,1.4803725711942662e-8,1.3647931451643559e-9,2.116917127703566e-11,1.3278350641243719e-11,7.1270003787482494e-12,7.105090821246662e-12,3.2983556996768473e-10
2016,0.000002637119062520732,0.0000011734471740965091,0.0000013037328130849346,1.4039671896171059e-7,1.7640744864877433e-8,1.5796950414426192e-9,2.8401427737412278e-11,1.3278350641243719e-11,1.4359256839124868e-11,7.105090821246662e-12,2.5877234521853867e-10
2017,0.0000033215913305364994,0.0000013648454000758647,0.0000017249657616957848,2.0168260874697808e-7,2.743421010364955e-8,2.341139992978469e-9,3.6730257724215676e-11,2.376275079485346e-11,1.4359256839124868e-11,7.105090821246662e-12,2.402525650646581e-10
2018,0.000003681356823218712,0.0000014912254471255437,0.0000019262775765582774,2.294646659350974e-7,3.14684889257677e-8,2.64222135837322e-9,4.5912822155269595e-11,2.0822074967008497e-11,1.7949071048906085e-11,0,1.9373934748156962e-10
2019,0.000004125420339393579,0.0000016262846050570563,0.0000021901045480869166,2.6845298843151494e-7,3.726604328827913e-8,3.0834634475359244e-9,3.74604282778653e-11,2.7762766622677997e-11,1.2053760767294364e-11,0,1.5141412660716705e-10
